Site,sndvi_2011,sndvi_2012,sndvi_2013,sndvi_2014,sndvi_2015,sndvi_2016,sndvi_2017,sndvi_2018,sndvi_2019,sndvi_2020,sndvi_2021,sndvi_2022
1,2375.62839,3750.497605,2745.407361,3233.559848,4082.157989,3781.191539,3641.878277,3118.728383,4010.378326,2695.454092,3648.142287,2544.061334
2,2543.347757,3869.174773,3021.071259,3440.140918,4375.553422,4154.343178,3706.342115,3289.319078,4342.615286,3081.737155,3767.020767,2856.468537
3,2820.618913,4238.375105,3376.415446,3369.447059,4411.07997,4061.336237,3616.681962,3494.787816,4202.276732,3335.364793,3923.878803,3269.753992
4,2785.720405,4012.847116,3285.021413,3251.431292,4361.42174,4231.465348,4046.862171,3457.98945,4362.801686,3459.521098,4118.941195,3239.602866
5,3117.456432,3960.039449,3349.519271,3321.416302,4378.104926,4326.786127,4108.168012,3519.960834,4509.647078,3719.059609,4191.747553,3413.740908
6,3189.794306,4090.497239,3320.552615,3507.524248,4761.152422,4638.610698,4246.322941,3726.762801,4916.246513,3979.035196,4490.628777,3477.823303
7,3065.534041,4005.597399,3212.857848,3392.347804,5292.288649,4941.525108,4442.181982,3663.971264,5175.397258,4083.045917,4601.63146,3418.533158
8,3161.085698,4044.510227,3278.599243,3395.948198,5312.408488,4966.967198,4204.062188,3581.530651,5232.704807,4092.524891,4518.851936,3469.523611
9,3549.443822,4376.633055,3639.156623,3750.130373,5334.534399,4941.947502,4321.319584,3833.278235,5512.125843,4266.404223,4630.659857,3674.102563
10,3653.2588,4365.964964,4042.529702,3761.085152,5608.718196,4912.274977,4600.134285,4108.290735,5718.077466,4394.505344,4845.16724,3802.696122
11,3641.646979,4684.948617,4403.72706,3897.236798,5617.922621,4981.757412,4782.088773,4190.53294,5576.768189,4369.243456,4682.157304,4037.052804
12,3699.026272,5072.646142,4534.831032,3985.827388,5533.208557,5139.292055,5204.172782,4286.267035,5626.584391,4486.766579,4668.832252,4306.136196
13,3856.290325,5162.326258,4533.300715,3954.095304,5516.977193,5126.129731,5507.087509,4681.706273,5692.185982,4847.724016,4702.82254,4767.467755
14,4000.95921,5222.591297,4587.557366,3787.333958,5497.823842,5173.045343,5386.859588,4874.826886,5670.902925,4957.299022,4901.628578,4897.422982
15,4778.016004,5513.899768,5137.86414,4303.812304,5856.562984,5666.302808,5544.38907,5219.956118,6136.041993,5251.687109,5221.405463,5290.630219
16,4704.804837,5590.940164,5078.785986,4425.344298,5660.383726,5661.2946,5669.889632,5159.599664,6006.962579,5277.9642,5275.517032,5479.14837
17,4781.793657,5477.265183,5586.241705,4718.982013,5748.941016,5636.180975,5808.90992,5232.0554,6017.77428,5538.129831,5416.308508,5375.14287
18,4933.349622,5414.633895,6432.184534,5096.063005,6065.842825,5939.766604,5897.390292,5658.398947,6365.84322,5898.451582,5929.751789,5623.373665
19,5111.198933,5545.615026,6568.533826,5194.33092,6005.944384,5950.665978,5975.1624,5775.24151,6069.848676,5848.566199,5700.763084,5644.747805
20,4986.173385,5583.323133,6658.757472,5371.282986,5803.671046,5746.750183,5687.064223,5687.249866,5848.299401,5514.819387,5476.183265,5488.173179
21,5280.512229,5968.268224,6647.754704,5633.514203,5872.43128,5994.942193,5886.240868,5748.953418,6058.685069,5919.281715,5626.096275,5820.527245
22,5875.625442,6595.03382,6482.465567,5954.563589,6405.846852,6266.139215,6488.905131,6045.399768,6430.926473,6382.453579,5746.477495,6229.605894
23,6264.487789,7109.294542,6509.776979,6172.357266,6449.342463,6277.369749,6801.713781,6259.832028,6401.914731,6614.665311,5897.725607,6426.43585
24,6896.273372,7400.269544,6764.193019,6050.655218,6836.938233,6816.121874,7041.237204,6592.669204,6686.692064,6966.216006,6199.854978,6605.012358
25,7110.499091,7587.407534,6835.807091,6190.116582,7051.842979,6993.921463,7203.153305,6768.730401,6911.550499,7165.699425,6410.363041,6717.119445
26,7096.554097,7479.874538,6901.380329,6494.881223,7236.910647,6981.622143,7261.946614,6784.473995,6830.962149,7031.209744,6370.583045,6659.122171
27,6935.002227,7243.73286,6773.845059,6422.370511,7344.077985,7095.43166,7058.5336,6796.984473,6625.464553,6856.619865,6224.101241,6712.45532
28,6830.84961,7143.870206,6806.403929,6289.438949,7287.16688,7092.703531,6955.59201,6682.358702,6478.935327,6507.50072,6183.193834,6695.249807
29,7066.589837,7289.926737,7083.14547,6484.98361,7214.15552,7314.858945,7142.550847,6744.187763,6771.027093,6695.774145,6299.007617,7045.30293
30,6538.936233,6683.688219,6751.694725,6248.755831,6852.259378,6929.21295,6659.142771,6590.56904,6270.979722,6286.644305,6007.196097,6671.464892
31,6859.288132,7087.019631,6980.237039,6551.197563,7188.187916,7094.150475,7155.014983,6842.243261,6548.598792,6774.182131,6265.464805,6890.144198
