Site,Year,Route,observer,new,stop_10,stop_20,stop_30,stop_40,stop_50
12,2011,840-67-31,1100145,0,1,0,0,0,0
12,2019,840-67-31,1110234,1,8,1,0,0,0
12,2021,840-67-31,1110234,0,5,2,0,1,0
12,2022,840-67-31,1110234,0,7,0,0,0,2
30,2011,840-38-1,1020188,0,0,0,0,0,1
30,2012,840-38-1,1020188,0,0,0,0,0,0
30,2013,840-38-1,1020188,0,0,0,0,0,0
30,2015,840-38-1,1140709,1,0,0,0,1,0
30,2016,840-38-1,1140709,0,0,0,0,3,1
30,2017,840-38-1,1140709,0,0,0,0,0,0
30,2018,840-38-1,1140709,0,1,0,0,0,0
30,2021,840-38-1,1140709,0,0,0,0,0,0
42,2011,840-38-11,1120315,0,4,0,0,0,0
42,2012,840-38-11,1120315,0,13,0,0,0,0
42,2013,840-38-11,1120315,0,11,0,1,1,4
42,2014,840-38-11,1120315,0,12,5,0,0,1
42,2015,840-38-11,1120315,0,7,0,1,0,3
42,2016,840-38-11,1120315,0,16,1,0,1,0
42,2017,840-38-11,1120315,0,9,1,0,0,0
42,2018,840-38-11,1120315,0,6,0,0,2,2
42,2019,840-38-11,1120315,0,11,1,0,0,0
42,2021,840-38-11,990876,0,9,7,0,3,0
44,2011,840-38-10,980760,0,2,1,0,2,6
44,2014,840-38-10,980760,0,0,0,0,0,0
44,2015,840-38-10,980760,0,1,0,0,0,0
44,2016,840-38-10,980760,0,3,0,0,0,0
44,2017,840-38-10,980760,0,4,0,0,0,0
44,2019,840-38-10,980760,0,0,0,0,0,0
44,2021,840-38-10,980760,0,2,1,0,0,0
44,2022,840-38-10,1041168,0,10,4,1,1,0
52,2011,840-38-6,1030611,0,2,0,0,0,0
52,2011,840-38-7,1030611,0,7,0,0,0,0
52,2012,840-38-6,1030611,0,2,0,0,0,0
52,2012,840-38-7,1030611,0,4,0,0,0,1
52,2013,840-38-6,1030611,0,2,0,0,0,0
52,2013,840-38-7,1030611,0,1,0,0,0,1
52,2014,840-38-6,1030611,0,8,0,0,0,0
52,2014,840-38-7,1030611,0,13,0,0,1,0
52,2015,840-38-6,1030611,0,9,0,0,0,0
52,2015,840-38-7,1030611,0,8,0,0,0,0
52,2016,840-38-6,1030611,0,7,0,0,0,0
52,2016,840-38-7,1030611,0,4,0,0,0,0
52,2017,840-38-6,1030611,0,6,0,0,0,0
52,2017,840-38-7,1030611,0,1,0,0,0,0
52,2018,840-38-6,1030611,0,6,0,0,0,0
52,2018,840-38-7,1030611,0,5,0,0,0,0
52,2019,840-38-6,1030611,0,10,0,0,0,0
52,2019,840-38-7,1030611,0,3,0,1,0,0
52,2021,840-38-6,1030611,0,9,1,1,0,0
52,2021,840-38-7,1030611,0,1,2,0,0,0
52,2022,840-38-6,1030611,0,1,0,0,0,0
52,2022,840-38-7,1030611,0,15,0,0,0,0
53,2011,840-38-7,1030611,0,7,0,0,0,0
53,2012,840-38-7,1030611,0,4,0,0,0,1
53,2013,840-38-7,1030611,0,1,0,0,0,1
53,2014,840-38-7,1030611,0,13,0,0,1,0
53,2015,840-38-7,1030611,0,8,0,0,0,0
53,2016,840-38-7,1030611,0,4,0,0,0,0
53,2017,840-38-7,1030611,0,1,0,0,0,0
53,2018,840-38-7,1030611,0,5,0,0,0,0
53,2019,840-38-7,1030611,0,3,0,1,0,0
53,2021,840-38-7,1030611,0,1,2,0,0,0
53,2022,840-38-7,1030611,0,15,0,0,0,0
57,2011,840-38-105,1080094,0,3,0,0,0,0
57,2012,840-38-105,1080094,0,2,0,0,0,0
57,2013,840-38-105,1080094,0,1,1,0,1,0
57,2014,840-38-105,1080094,0,2,0,0,0,0
57,2017,840-38-105,1080094,0,3,2,1,3,1
57,2018,840-38-105,1080094,0,6,0,0,0,0
57,2019,840-38-105,1080094,0,0,2,0,0,0
57,2021,840-38-105,1080094,0,4,0,1,0,0
63,2011,840-38-301,1020168,0,0,0,0,0,0
63,2012,840-38-301,1020168,0,0,0,0,0,0
63,2013,840-38-301,1020168,0,0,0,0,0,0
63,2015,840-38-301,1140709,1,0,0,0,0,0
63,2016,840-38-301,1140709,0,0,0,1,0,0
63,2017,840-38-301,1140709,0,0,0,1,0,0
63,2018,840-38-301,1140709,0,0,0,0,0,0
63,2021,840-38-301,1140709,0,0,0,0,1,0
68,2012,840-38-308,1140556,0,0,1,0,0,0
68,2014,840-38-308,1140556,0,0,0,0,0,0
68,2015,840-38-308,1080164,0,0,0,0,0,0
68,2016,840-38-308,1140556,0,0,0,0,0,0
68,2017,840-38-308,1140556,0,0,0,0,0,0
68,2018,840-38-308,1140556,0,0,0,0,0,0
68,2019,840-38-308,1140556,0,1,0,0,0,0
68,2021,840-38-308,1140556,0,0,0,0,0,0
68,2022,840-38-308,1140556,0,0,0,0,0,0
71,2011,840-38-37,1020122,0,0,0,0,0,0
71,2012,840-38-37,1020122,0,0,0,0,0,0
71,2013,840-38-37,1020122,0,3,0,0,0,0
71,2014,840-38-37,1020122,0,0,0,0,0,0
71,2015,840-38-37,1020122,0,0,0,0,0,0
71,2016,840-38-37,1120315,0,2,0,0,0,0
71,2018,840-38-37,1151616,1,0,0,0,0,0
71,2019,840-38-37,1140749,0,0,1,0,0,0
84,2011,840-38-6,1030611,0,2,0,0,0,0
84,2012,840-38-6,1030611,0,2,0,0,0,0
84,2013,840-38-6,1030611,0,2,0,0,0,0
84,2014,840-38-6,1030611,0,8,0,0,0,0
84,2015,840-38-6,1030611,0,9,0,0,0,0
84,2016,840-38-6,1030611,0,7,0,0,0,0
84,2017,840-38-6,1030611,0,6,0,0,0,0
84,2018,840-38-6,1030611,0,6,0,0,0,0
84,2019,840-38-6,1030611,0,10,0,0,0,0
84,2021,840-38-6,1030611,0,9,1,1,0,0
84,2022,840-38-6,1030611,0,1,0,0,0,0
92,2011,840-38-2,1090713,0,0,0,1,0,0
92,2011,840-38-302,1090713,0,0,0,0,0,0
92,2012,840-38-2,1090713,0,3,0,0,0,0
92,2012,840-38-302,1090713,0,1,0,0,0,0
92,2013,840-38-2,1090713,0,2,0,0,0,0
92,2013,840-38-302,1090713,0,0,0,0,0,0
92,2014,840-38-2,981383,1,0,0,0,0,0
92,2014,840-38-302,1090713,0,0,0,0,0,0
92,2015,840-38-2,981383,0,2,1,0,0,2
92,2015,840-38-302,1090713,0,0,0,0,0,0
92,2016,840-38-2,981383,0,2,0,0,1,2
92,2016,840-38-302,981383,0,0,0,0,1,0
92,2017,840-38-2,981383,0,3,0,0,0,1
92,2017,840-38-302,970437,1,0,0,0,0,0
92,2018,840-38-2,981383,0,2,0,0,0,1
92,2018,840-38-302,1030723,1,0,0,0,0,0
92,2019,840-38-2,981383,0,5,0,1,0,0
92,2019,840-38-302,1030723,0,0,0,0,0,0
92,2021,840-38-2,981383,0,0,0,0,0,2
92,2021,840-38-302,1030723,0,0,0,0,0,0
92,2022,840-38-2,981383,0,4,0,0,0,4
92,2022,840-38-302,1030723,0,0,0,0,1,0
93,2011,840-38-2,1090713,0,0,0,1,0,0
93,2012,840-38-2,1090713,0,3,0,0,0,0
93,2013,840-38-2,1090713,0,2,0,0,0,0
93,2014,840-38-2,981383,1,0,0,0,0,0
93,2015,840-38-2,981383,0,2,1,0,0,2
93,2016,840-38-2,981383,0,2,0,0,1,2
93,2017,840-38-2,981383,0,3,0,0,0,1
93,2018,840-38-2,981383,0,2,0,0,0,1
93,2019,840-38-2,981383,0,5,0,1,0,0
93,2021,840-38-2,981383,0,0,0,0,0,2
93,2022,840-38-2,981383,0,4,0,0,0,4
95,2011,840-38-301,1020168,0,0,0,0,0,0
95,2012,840-38-301,1020168,0,0,0,0,0,0
95,2013,840-38-301,1020168,0,0,0,0,0,0
95,2015,840-38-301,1140709,1,0,0,0,0,0
95,2016,840-38-301,1140709,0,0,0,1,0,0
95,2017,840-38-301,1140709,0,0,0,1,0,0
95,2018,840-38-301,1140709,0,0,0,0,0,0
95,2021,840-38-301,1140709,0,0,0,0,1,0
100,2012,840-38-308,1140556,0,0,1,0,0,0
100,2014,840-38-308,1140556,0,0,0,0,0,0
100,2015,840-38-308,1080164,0,0,0,0,0,0
100,2016,840-38-308,1140556,0,0,0,0,0,0
100,2017,840-38-308,1140556,0,0,0,0,0,0
100,2018,840-38-308,1140556,0,0,0,0,0,0
100,2019,840-38-308,1140556,0,1,0,0,0,0
100,2021,840-38-308,1140556,0,0,0,0,0,0
100,2022,840-38-308,1140556,0,0,0,0,0,0
110,2011,840-38-9,1020206,0,10,3,1,0,0
110,2014,840-38-9,1020206,0,0,0,0,1,0
110,2018,840-38-9,1041168,1,3,0,0,0,0
110,2019,840-38-9,1041168,0,8,2,0,1,0
110,2021,840-38-9,1041168,0,12,0,0,1,0
110,2022,840-38-9,1041168,0,3,0,0,0,0
124,2011,840-38-2,1090713,0,0,0,1,0,0
124,2012,840-38-2,1090713,0,3,0,0,0,0
124,2013,840-38-2,1090713,0,2,0,0,0,0
124,2014,840-38-2,981383,1,0,0,0,0,0
124,2015,840-38-2,981383,0,2,1,0,0,2
124,2016,840-38-2,981383,0,2,0,0,1,2
124,2017,840-38-2,981383,0,3,0,0,0,1
124,2018,840-38-2,981383,0,2,0,0,0,1
124,2019,840-38-2,981383,0,5,0,1,0,0
124,2021,840-38-2,981383,0,0,0,0,0,2
124,2022,840-38-2,981383,0,4,0,0,0,4
125,2011,840-38-2,1090713,0,0,0,1,0,0
125,2012,840-38-2,1090713,0,3,0,0,0,0
125,2013,840-38-2,1090713,0,2,0,0,0,0
125,2014,840-38-2,981383,1,0,0,0,0,0
125,2015,840-38-2,981383,0,2,1,0,0,2
125,2016,840-38-2,981383,0,2,0,0,1,2
125,2017,840-38-2,981383,0,3,0,0,0,1
125,2018,840-38-2,981383,0,2,0,0,0,1
125,2019,840-38-2,981383,0,5,0,1,0,0
125,2021,840-38-2,981383,0,0,0,0,0,2
125,2022,840-38-2,981383,0,4,0,0,0,4
148,2011,840-38-304,1060235,0,0,0,0,0,0
148,2012,840-38-304,1060235,0,0,0,0,0,1
148,2013,840-38-304,1060235,0,1,0,0,0,0
148,2014,840-38-304,1060235,0,0,0,0,0,0
148,2015,840-38-304,1060235,0,1,0,0,0,0
148,2016,840-38-304,1060235,0,0,0,0,0,3
148,2017,840-38-304,1060235,0,0,0,1,0,2
148,2018,840-38-304,1060235,0,1,0,0,0,0
148,2019,840-38-304,1060235,0,0,0,1,3,2
148,2021,840-38-304,1060235,0,2,0,0,2,0
148,2022,840-38-304,1060235,0,0,0,0,0,3
152,2011,840-38-303,1060330,0,1,0,0,0,0
152,2012,840-38-303,1060330,0,0,1,0,0,0
152,2013,840-38-303,1060330,0,1,0,0,0,0
152,2014,840-38-303,1060330,0,1,0,0,0,0
152,2015,840-38-303,1060330,0,0,0,0,0,0
152,2016,840-38-303,1060330,0,3,0,0,0,0
152,2017,840-38-303,1060330,0,3,0,0,0,0
152,2019,840-38-303,1060330,0,1,0,0,0,0
152,2021,840-38-303,1060330,0,0,0,0,0,0
152,2022,840-38-303,1060330,0,1,0,0,0,0
156,2011,840-38-3,1020392,0,0,0,0,0,0
156,2014,840-38-3,1120652,1,1,0,0,0,0
156,2015,840-38-3,1120652,0,0,0,0,0,1
156,2016,840-38-3,1120652,0,1,0,0,0,0
156,2017,840-38-3,1120652,0,0,0,0,1,5
156,2019,840-38-3,1120652,0,1,0,0,0,0
156,2021,840-38-3,1120652,0,2,0,0,0,0
156,2022,840-38-3,1120652,0,0,0,0,0,0
165,2011,840-38-307,1100076,0,0,0,0,0,0
165,2012,840-38-307,1080164,0,0,1,0,0,0
165,2013,840-38-307,1100076,0,0,0,0,0,0
165,2014,840-38-307,1100076,0,0,0,0,1,0
165,2015,840-38-307,1100076,0,0,2,0,0,0
165,2016,840-38-307,1100076,0,1,0,0,0,0
165,2017,840-38-307,1100076,0,2,0,0,0,0
165,2018,840-38-307,1100076,0,3,0,0,0,0
165,2019,840-38-307,1100076,0,0,0,0,0,0
165,2021,840-38-307,1100076,0,0,0,0,0,0
165,2022,840-38-307,1100076,0,1,0,1,0,0
166,2011,840-38-307,1100076,0,0,0,0,0,0
166,2012,840-38-307,1080164,0,0,1,0,0,0
166,2013,840-38-307,1100076,0,0,0,0,0,0
166,2014,840-38-307,1100076,0,0,0,0,1,0
166,2015,840-38-307,1100076,0,0,2,0,0,0
166,2016,840-38-307,1100076,0,1,0,0,0,0
166,2017,840-38-307,1100076,0,2,0,0,0,0
166,2018,840-38-307,1100076,0,3,0,0,0,0
166,2019,840-38-307,1100076,0,0,0,0,0,0
166,2021,840-38-307,1100076,0,0,0,0,0,0
166,2022,840-38-307,1100076,0,1,0,1,0,0
172,2011,840-38-306,1020206,0,0,0,0,0,0
172,2014,840-38-306,1020206,0,3,1,0,0,0
174,2011,840-38-305,980760,0,0,0,0,0,0
174,2011,840-38-8,1120293,0,0,3,0,0,0
174,2012,840-38-305,980760,0,0,0,0,0,0
174,2012,840-38-8,1120293,0,0,0,0,0,0
174,2013,840-38-305,981353,1,0,0,0,0,0
174,2013,840-38-8,1120293,0,0,0,0,0,0
174,2014,840-38-8,1060147,1,0,0,0,0,2
174,2015,840-38-8,1060147,0,2,0,0,0,0
174,2016,840-38-8,1060147,0,1,0,0,0,0
174,2017,840-38-8,1060147,0,0,0,0,0,0
174,2018,840-38-305,1041170,1,0,0,0,0,0
174,2018,840-38-8,1060147,0,0,0,0,0,0
174,2019,840-38-8,1060147,0,1,0,0,0,1
184,2011,840-38-4,1080094,0,8,5,0,0,0
184,2012,840-38-4,1080094,0,8,1,1,0,0
184,2013,840-38-4,1080094,0,7,1,0,0,0
184,2014,840-38-4,1080094,0,13,1,0,2,0
184,2015,840-38-4,1080094,0,6,2,0,1,0
184,2017,840-38-4,1080094,0,9,3,0,0,0
184,2018,840-38-4,1080094,0,8,4,0,1,1
184,2019,840-38-4,1080094,0,5,2,0,0,0
184,2021,840-38-4,1080094,0,8,4,0,0,0
188,2011,840-38-3,1020392,0,0,0,0,0,0
188,2014,840-38-3,1120652,1,1,0,0,0,0
188,2015,840-38-3,1120652,0,0,0,0,0,1
188,2016,840-38-3,1120652,0,1,0,0,0,0
188,2017,840-38-3,1120652,0,0,0,0,1,5
188,2019,840-38-3,1120652,0,1,0,0,0,0
188,2021,840-38-3,1120652,0,2,0,0,0,0
188,2022,840-38-3,1120652,0,0,0,0,0,0
195,2011,840-38-12,1080164,0,0,0,0,0,0
195,2012,840-38-12,1080164,0,0,0,0,0,0
195,2014,840-38-12,1080164,0,0,0,0,0,0
195,2015,840-38-12,1080164,0,0,0,0,2,0
195,2016,840-38-12,1080164,0,0,0,0,0,0
195,2017,840-38-12,1080164,0,3,0,0,0,1
195,2018,840-38-12,1080164,0,0,0,0,0,0
195,2019,840-38-12,1080164,0,0,0,0,0,0
195,2021,840-38-12,1080164,0,0,0,0,1,0
195,2022,840-38-12,1080164,0,0,0,0,0,0
228,2011,840-38-316,1080164,0,0,0,0,0,1
228,2012,840-38-316,1080164,0,0,0,2,0,0
228,2014,840-38-316,1080164,0,0,0,1,0,0
228,2015,840-38-316,1080164,0,0,0,0,0,0
228,2016,840-38-316,1080164,0,0,0,0,0,0
228,2017,840-38-316,1080164,0,0,0,1,0,0
228,2018,840-38-316,1080164,0,0,0,0,0,0
228,2019,840-38-316,1080164,0,0,0,0,0,0
228,2021,840-38-316,1080164,0,0,0,0,0,0
228,2022,840-38-316,1080164,0,0,0,0,0,0
235,2011,840-38-22,1150399,0,8,1,1,0,3
235,2012,840-38-22,1150399,0,8,3,8,1,0
235,2013,840-38-22,1150399,0,6,0,0,0,0
235,2014,840-38-22,1150399,0,11,0,0,0,1
235,2017,840-38-22,1150399,0,4,0,2,0,0
235,2018,840-38-22,1150399,0,5,1,0,0,0
235,2019,840-38-22,1150399,0,6,0,0,2,0
236,2011,840-38-314,1150399,0,19,0,0,0,0
236,2012,840-38-314,1150399,0,11,2,0,0,0
236,2013,840-38-314,1150399,0,13,2,0,1,0
236,2014,840-38-314,1150399,0,9,0,0,0,2
236,2017,840-38-314,1150399,0,16,3,0,0,0
236,2018,840-38-314,1150399,0,7,6,2,4,0
236,2019,840-38-314,1150399,0,14,2,0,0,0
237,2011,840-38-314,1150399,0,19,0,0,0,0
237,2012,840-38-314,1150399,0,11,2,0,0,0
237,2013,840-38-314,1150399,0,13,2,0,1,0
237,2014,840-38-314,1150399,0,9,0,0,0,2
237,2017,840-38-314,1150399,0,16,3,0,0,0
237,2018,840-38-314,1150399,0,7,6,2,4,0
237,2019,840-38-314,1150399,0,14,2,0,0,0
245,2011,840-38-312,1020304,0,5,0,0,1,0
245,2012,840-38-312,1020304,0,5,0,0,0,0
245,2013,840-38-312,1020304,0,1,0,0,0,0
245,2014,840-38-312,1020304,0,4,0,0,0,0
245,2015,840-38-312,1020304,0,1,0,0,0,0
245,2016,840-38-312,1020304,0,2,0,0,0,0
245,2017,840-38-312,1020304,0,2,0,0,0,0
245,2018,840-38-312,1020304,0,2,0,0,0,0
245,2019,840-38-312,1020304,0,5,0,0,0,0
245,2021,840-38-312,1020304,0,0,0,0,0,0
245,2022,840-38-312,1020304,0,0,0,0,0,0
247,2011,840-38-17,1120043,0,0,0,0,0,0
247,2012,840-38-17,1120043,0,0,0,0,0,0
247,2013,840-38-17,1120043,0,0,0,1,0,0
247,2014,840-38-17,1041082,1,1,0,0,0,0
